word,phonetic,pos,meaning,examples,memory_methods,derivatives,collocations,extensions,chapter,source_page,source_book,confidence
accelerate,/əkˈseləreɪt/,vt.,加速；促进,Too much sunshine accelerates the aging process of your skin. 过量的 阳光会加速你皮肤衰老的过程。,划分：ac | ce | lerate 针对第1个元素采用 | 词根分析：celer：词根，表示速度； | 巧记：通过熟练掌握 accelerate 反向记忆，ac | celer | ate：其中 ac 表示加 强；celer 表示速度 ——> 加强速度，即 vt.加速；促进（速度提高）。,,,acceleration n.加速,participate为已经记忆过的单词，表示vi.参加，参与；末尾去掉-te动词后缀，,310,单词突围5200 上册,1.0
acceleration,/ək'sɛlə'reʃən/,n.,加速；加快,Acceleration to 60 mph takes a mere 5.7 seconds. 加速到每小时60英里 仅用5.7秒。,accelerate 为已经记忆过的单词，表示 vt.加速；末尾去掉 -e 动词后缀，再加上 -ion 名词后缀，得到核心含义相同的名词含义，表示 n.加速；加快,,,,participate为已经记忆过的单词，表示vi.参加，参与；末尾去掉-te动词后缀，,311,单词突围5200 上册,1.0
accept,/əkˈsept/ draft watt accept,v.,接受,Please accept my apologies. 请你接受我的道歉。,"① 划分：ac | cept 针对第1个元素采用 | 词根分析：ac：词缀，表加强，对后续词根含义的程度修饰； | 巧记：从谐音""啊！""""草！""体现出的强烈语气引申出加强的意思",,,"acceptable ad .可接受的； | 词义辨析：accept，receive accept 表示主观上""接受""，而 receive 表示客观上""收到""，如：She received a birthday present from a boy but did not accept it.她收到了一个男孩送的生日 礼物，但没有接受。 词汇扩充：acceptable ad .可接受的",Part1,1133,单词突围5200 上册,1.0
acceptable,/əkˈseptəbl/,,ad .可接受的，令人满意的,The terms of the contract are acceptable to us. 我们认为这个合同的条 件可以接受。 acceptable acceptance,"accept 为已经记忆过的熟悉单词，表示 v.接受；末尾加上 -able 表示""能…的""形容 词后缀，表示 ad .可接受的，令人满意的",,,,Part1,1134,单词突围5200 上册,1.0
acceptance,/əkˈseptəbl/,,ad .可接受的，令人满意的,The terms of the contract are acceptable to us. 我们认为这个合同的条 件可以接受。 acceptable acceptance,"accept 为已经记忆过的熟悉单词，表示 v.接受；末尾加上 -able 表示""能…的""形容 词后缀，表示 ad .可接受的，令人满意的",,,,Part1,1134,单词突围5200 上册,1.0
access,/ˈækses/,n.,通道；（使用或见到的）机会；资格，权利；vt.进入；存取；接近,The students have free access to these books. 学生可以自由使用这些图 书。,划分：ac | cess 针对第1个元素采用,,have access to … 有（使用或见到）…的权利或机会； 词汇拓展：accessible ad .易接近的；可到达的； access accessible,,parts.这个国家被划分为三个部分。,69,单词突围5200 上册,1.0
accessible,/ˈækses/,n.,通道；（使用或见到的）机会；资格，权利；vt.进入；存取；接近,The students have free access to these books. 学生可以自由使用这些图 书。,划分：ac | cess 针对第1个元素采用,,have access to … 有（使用或见到）…的权利或机会； 词汇拓展：accessible ad .易接近的；可到达的； access accessible,,parts.这个国家被划分为三个部分。,69,单词突围5200 上册,1.0
accident,/ˈæksɪdənt/,n.,事故，意外,We met by accident at the airport. 我们在机场不期而遇。,划分：ac | cide | nt ① 针对第1元素采用字形变化记忆法：把 ac 想象成 熟悉单词 car - 车 的变形; 针对第2个元素采用字形变化记忆法：把 cide 想象成熟悉单词 ride - 骑单车 的变 形。 transition transitional accident 综合考虑 ac（car-车） + cide（ride-骑）——> 之所以在单词中表示 car 的 ac 前面没有了 c ，末尾的 r 也变成了 c，同时表示 ride 的 cide 前面由 r 变成了 c， 都可以理解成是小汽车和自行车发生车祸撞在一起两车都发生严重变形导致。车祸 即为 accident 的含义 n.事故，意外。 总结：开 car（ac）的和骑（cide）自行车的之间发生车祸，两车严重变形得到单 词 accident n.意外，事故； ② 事故的发生总是出人意料，在刻意感受 accident 背后所蕴含的有关突然的含义 后容易记住 accident 刻意表示 n.意外,,by accident 意外地；偶然地,accidental ad .偶然的，意外的,Part1,470,单词突围5200 上册,1.0
accidental,/ˌæksɪˈdentl/,,ad .意外的; 偶然(发生)的,Their marriage was quite accidental. 他们的结合是偶然的。,accident 为已经记忆过的单词，表示 n.事故，意外；末尾加上 -al 形容词后缀， 得到核心含义相同的形容词含义，对应事故和意外发生的偶然性，表示 ad .意外 的; 偶然(发生)的,,,,Part1,471,单词突围5200 上册,1.0
accommodate,/əˈkɑːmədeɪt/,v.,容纳； 向..提供住处（或膳宿）；迎合， 迁就；vi.顺应，适应（新情况）,Some forms of art can accommodate huge crowds of visitors. 有些艺 术形式可以容纳大量的参观者。,accommodation 为已经记忆过的单词，表示 n.「pl.」住宿，食宿；调节；末尾 去掉 -ion 名词后缀，加上 -e 动词后缀，得到核心含义相同的动词含义：1）对应 食宿、住宿，表示 v.容纳； 向..提供住处（或膳宿）；2）对应调节，表示一种朝 着某个倾向进行调整和改变的意向，对应动词 v.迎合， 迁就；vi.顺应，适应（新 情况）,,,,Part1,1025,单词突围5200 上册,1.0
accommodation,/əˌkɒməˈdeɪʃn/,n.,「pl.」住宿，食宿；调节； common accommodation,"I've been looking in the newspapers for student accommodation, but it's all so expensive.我一直在报纸上搜寻学生公寓（信息），但租金都太高 了。",划分：ac | commo | dation 针对第1个元素采用,,,,Part1,1024,单词突围5200 上册,1.0
accomplishment,/ˈdefɪsɪt/,n.,赤字，亏空，亏损,This year's profits have balanced last year's trade deficit. 今年的盈利已 经弥补了去年的贸易逆差。,"划分：de | fic | it 针对第1个元素采用谐音记忆法：de 在单词里的发音类似中文""底""，底部，见底； 针对第2个元素采用",,a budget deficit 预算赤字,,Part4,555,单词突围5200 上册,1.0
accord,/əˈkɔːd/,n.,一致，符合；（尤指国与国之间的）协议；vt.使符合；使一致；授予，赠 予，给予；vi.相符合；相一致,Apple's products were designed to accord with the boss's tastes and to meet his extremely high standards. 苹果公司的产品是按照老板的品位来设 计的，需要满足他那极高的标准。,"① according 为已经记忆过的单词，表示 ad .相等的，一致的；依照的；去掉末 尾 -ing 表示形容词含义的动名词后缀，得到同为""一致，相等；匹配，相符""核心 含义相同的含义，作动词表示 vi.相符合；相一致；vt.使符合；使一致；作名词表 示 n.一致，符合； ② 由""一致，符合""进行延伸 ——> 联系 vt.赠予，授予，给予 的含义，我们可以 想象一个赠予、授予的现场，正因为被授予者做的事情和授予者的核心利益诉求保 持了一致，所以才通过赠予、授予的形式予以奖励和鼓励。 比如说一个富豪捐助奖学金用来鼓励成绩优异的学生，而你优秀的学习成绩和积极 的人生态度恰好和富豪希望看到的""一致""，所以他才把奖学金赠予、给予了你，故 accord 作动词还可以表示给予者的核心诉求被满足之后的自然行为，即 vt.授予， 赠予，给予； 总结：accord 由 according 得到与""一致，符合""相关的核心含义，更进一步得到 符合要求之后发生的""授予，赠予，给予""行为； | 词根分析：ac：词缀，表示加强； | 巧记：ac 属于典型的 a# 类前缀，表示加强； cord：词根，表示心，心脏； 巧记：通过熟练掌握 accord 反向记忆，ac | cord：其中 ac 表示加强；cord 表示 心脏 ——> 能够激发起心中强烈的喜爱，即合乎心意，和理想中一致，意为 n.符 合，一致",,with one accord 一致地；in accord with 与…一致； accord,,Part1,7,单词突围5200 上册,1.0
according,/ə'kɔrdɪŋ/,,ad .相等的，一致的；依…而定的；adv.依照,According to American law，if someone is accused of a crime，he is according considered innocent until the court proves the person is guilty. 根据美国法 律，如果某个人被指控犯罪，在法庭证明他有罪之前，他会被认为是清白的。,"① 针对整个单词采用发散联想法：由 according 联想起高中英语阅读题目中最常 见的短语搭配：according to，如下图： 即表示""根据最后一个段落""，由此把握 according 表示与""依照、参照""的核心含 义，即 ad .依…而定；adv.依照； ② 更进一步，由 according to 在阅读题目中表示""依照""，要求我们从选项中选出 与原文表达含义一致、相同的答案，从而把握由""依照""引申而来的 ad .相等的，一 致的",,,,Part1,6,单词突围5200 上册,1.0
account,/əˈkaʊnt/,n.,账目；描述；v.总计有；认为,The teacher told students on no account to peep at others' papers during the test. 老师告诉学生在考试中绝对不要偷看别人的卷子。,划分：ac | count 针对第1个元素采用,,account for（在数量、比例方面）占；导致；作出解释；on account of 由于，为了…；on no account 绝不可以，无论如何也不；take account of 考 虑到，顾及，体谅；take into account 考虑；注意，重视；of no account 不重 要的；bank account 银行账户,accounting n.会计；accountant n.会计人员，会计 account 师；accountancy n.会计工作；会计学,parts.这个国家被划分为三个部分。,64,单词突围5200 上册,1.0
accumulate,/əˈk uːm əleɪt/,vt.,堆积；积累,Huge maintenance costs accumulate. 巨额的维修费用不断累积。,划分：ac | cu | mu | late 针对第1个元素采用 | 词根分析：cumul：词根，表示堆积； | 巧记：通过熟练掌握 accumulate 反向记忆，ac | cumul | ate：其中 ac 表示加 强；cumul 表从堆积；ate 为动词后缀 ——> 把很多东西堆积在一起，表示 vt.堆 积；抽象层面上表示 vt.积累。 accumulate,,,accumulation n.积累；accumulative ad .积累的； 对比辨析：accumulate，collect，gather accumulate 几乎可以指任何事物量的增加，强调连续不断地、一点一滴地积 聚；collect 常指有目的、有计划地收集，如集邮等；gather 指按内容有顺序地收 集和整理。,Part4,876,单词突围5200 上册,1.0
accumulation,/əˌk uːm əˈleɪʃn/,n.,积累；积攒；积聚；堆积,The debt is an accumulation of budget deficits. 债务是预算赤字的累 积。,accumulate 为已经记忆过的单词，表示 vt.堆积；积累；末尾去掉 -e 动词后缀， 再加上 -ion 名词后缀，得到核心含义相同的名词含义，表示 n.积累；积攒；积 聚；堆积,,,,Part4,877,单词突围5200 上册,1.0
accumulative,/ə'k um ələtɪv/,,ad .积聚的，累积的,The consensus is that risk factors have an accumulative effect. 一致意 见认为多种危险因素有积聚的效果。,accumulate 为已经记忆过的单词，表示 vt.堆积；积累；末尾去掉 -e 动词后缀， 再加上 -ive 形容词后缀，得到核心含义相同的形容词含义，表示 ad .积聚的，累 积的,,,,Part4,877,单词突围5200 上册,1.0
accuracy,/ˈæk ərəsi/,n.,准确性,The player hits the ball with great accuracy. 那名选手击球什么准确。,accurate 为已经记忆过的单词，表示 ad .准确的；在形容词末尾加上名词后缀 -cy 得到核心含义相关的名词含义，即 n.准确性,,,,Part1,572,单词突围5200 上册,1.0
accurate,/ˈæk ərət/,,ad .正确的，准确的,Your statements about the cost of the house were not accurate. 你对 这栋房子价格方面的说明不够明确。,划分：accu | rate 针对第1个元素采用,,,"inaccurate ad .不正确的；accuracy n.准确性； 对比辨析：accurate，correct，right accurate 强调""准确的，精准的""（肯定正确但更强调其准确性）；correct 强调"" 正确的""；right 则既可以表示""恰当的""（同义词为 suitable），又可以表示""正确 的""（同义词为 correct）。",Part1,571,单词突围5200 上册,1.0
accusation,/ˌæk uˈzeɪʃn/,n.,控告；谴责,Your accusation must be grounded on facts. 你的指责必须以事实为依 据。,accuse 为已经记忆过的单词，表示 vt.控告；指责，谴责；末尾去掉 -e 动词后 缀，加上 -ation 名词后缀，得到核心含义相同的名词含义，表示 n.控告；谴责,,,,Part2,598,单词突围5200 上册,1.0
accuse,/əˈk uːz/,vt.,控告；指责，谴责,The police accused him of stealing. 警方控告他偷窃。,划分：ac | cuse 针对第1个元素采用,,accuse sb of doing sth 控告某人做某事,"accusation n.谴责，控告； 对比辨析：accuse，charge accuse 最常用，可用于正式或非正式场合，官方或个人都可用；charge 较正式， 通常用来法庭上，引申为""谴责""。另外，在表示""指控某人做某事""时，用 sb be accused of doing sth 或 charge sb with doing sth.",Part2,597,单词突围5200 上册,1.0
achievement,/əˈtʃiːvmənt/,n.,「u」完成，达到；「c」成就，成绩,The scientist has made a great achievement in the field of physics in the past decade. 在过去的十年中，这位科学家在物理领域取得了巨大的成就。,"划分：achie | ve | ment 针对第1个元素采用谐音记忆法：achie 在单词中发音类似中文中的""啊嚏""，即打 喷嚏； 针对第2个元素采用谐音记忆法：ve 在单词中的发音类似中文中的""5""，数字5； 综合考虑两个元素 ——> 联想一个滑稽的场景：现在有一个""打喷嚏""大赛，参赛 选手同台竞技比赛谁打喷嚏时喷出的唾沫飞得最远。 作为参赛选手的你，一声阿嚏~（achie），唾沫飞出的距离竟然""达到""了5米远 （ve），这可是了不得的""成绩""，最终让你获得了第一名的好成绩，而""打喷嚏大 赛第一名""也成为了你的人生成就之一。 通过在打喷嚏比赛获得成绩并成为第一名的高光场景记住 achievement 表示与达 成成就有关的一系列名词含义，即 n.「u」完成，达到；「c」成就，成绩",,,,Part4,343,单词突围5200 上册,1.0
acknowledge,/əkˈnɒlɪdʒ/,vt.,答谢；承认；确认,I#acknowledged#Tom#for#all#of#his#help#with#the#pro ect.#我非常感谢汤 姆在这个项目上对我的帮助。,划分：ac#|#knowledge 针对第1个元素采用,,,acknowledgement#n.承认；鸣谢,Part4,437,单词突围5200 上册,1.0
acknowledgement,#/ək'nɑlɪdʒmənt/,n.,承认；鸣谢,I#received#an#acknowledgement#of#my#application.#我收到了我的申请 书的确认回执。,acknowledge#为已经记忆过的单词，表示#vt.答谢；承认；末尾加上#-ment#名词 后缀，得到核心含义相同的名词含义，表示#n.承认；鸣谢,,,,Part4,438,单词突围5200 上册,1.0
acquire,/əˈkwaɪə(r)/,vt.,取得，获得；学到,Tom acquired a famous painting from an art dealer. 汤姆从一个艺术品 经销商那里得到了一幅名画。,划分：ac | quire 针对第1个元素采用 | 词根分析：quire：词根，除了表示要求之外还可以表示追求； acquire | 巧记：通过熟练掌握 acquire 反向记忆，ac | quire：其中 ac 表示加强；quire 表 示追求 ——> 非常努力地追求最终成功取得了理想的成就。,,acquire the skills 掌握技能,acquisition n.取得，获得；习得,Part3,426,单词突围5200 上册,1.0
acquisition,/ˌækwɪˈzɪʃn/,n.,获得；获得物,Tom's newest acquisition is a sports car. 汤姆最近购置了一年跑车。,acquire 为已经记忆过的单词，意为 v.获得；末尾加上 -ion 名词后缀后，得到核 心含义相同的名词含义，即 n.获得；获得物。,,,,Part3,427,单词突围5200 上册,1.0
act,/pɑːrt/,n.,部分；角色；v.分离，分别,"If a small part of the plane were to fail, the plane wold explode in the sky. 飞机上一个小零件出问题都会使整个飞机在空中发生爆炸。",（熟悉单词，无需额外记忆方法）,,take part in 参加 play a part in … 在…中起作用 in part 在某种程度 上；部分地 part with … 与…分离； act,,Part3,304,单词突围5200 上册,1.0
action,/ˈækʃn/,n.,行动,Immediate action should be taken to stop the spreading of the fire. 必须采取紧急措施阻止火势蔓延。,（熟悉单词，无需额外记忆方法）,,take action（against…）采取行动（对抗…）：Immediate action should be taken to stop the spreading of the fire. 必须采取紧急措施阻止火势 蔓延。,,Part3,303,单词突围5200 上册,1.0
active,/ˈfɔːmæt/,n.,版式，格式，样式,It's the same book，but a new format. 这是同一本书，不过是新板式。,"划分：form | at 针对第1个元素采用含义联想法：form n.形式，形状； 针对第2个元素采用含义联想法：at 为已经记忆过的单词，表示以…； 综合考虑 from（形式）+ at（以…）——> 规定文字或图片以（at）某种固定的 形式（form）进行发布，最终呈现出来的效果被称为是""版式，格式，样式""； activate format 如上图，规定文字以上述的形式进行排列，最终呈现出来的便是整体的""版式，格 式，样式""，故 format 表示对文字格式的规定，意为 n.版式，格式，样式；进一 步，由名词延伸到动词表示 vt.使格式化",,,,Part2,1158,单词突围5200 上册,1.0
actually,/ˈʃɑːpən/,v.,（使）变锐利，削尖,At a sunny afternoon，the artist sharpened pencil and started drawing sunflowers. 在一个阳光明媚的下午，画家削尖了铅笔，开始画向日葵。,"划分：shar | pen 针对第1个元素采用谐音记忆法：shar 在单词中的发音类似中文里的""削""； 针对第2个元素采用含义联想法：pen 为熟悉单词，意为 n.笔； 综合考虑 shar（削）+ pen（笔）——> 削（shar）笔（pen）的目的就是为了让 笔更锐利，故 sharpen 表示 v.（使）变锐利；削尖",,,,Part4,557,单词突围5200 上册,1.0
acupuncture,/ˌpʌŋktʃuˈæləti/,n.,准时,Punctuality is essential in the business world. 在商界严守时间至关重 要。 punctuality acupuncture,punctual 为已经记忆过的单词，表示 ad .准时的；末尾加上 -ity 名词后缀，得到 核心含义相同的名词含义，表示 n.准时,,,,Part4,785,单词突围5200 上册,1.0
acute,/əˈk uːt/,,ad .尖锐的；敏锐的；严重的；（疾病）急性的,"It is universally acknowledged that dogs have an acute sense of smell. 大家都认为狗的嗅觉敏锐。 词根词缀积累： acu ：词根，意为尖端，尖锐（把握精细，尖锐的核心含义内核即可） 巧记：通过熟练掌握 acute 单词反向记忆，acu | te：其中 acu 表示尖端，尖 锐；te 理解为形容词后缀 ——> ad .尖锐的；敏锐的； acute 对比辨析：acute，keen，sharp acute 一般侧重指""人观察事物的敏锐度""，如：The teacher gave us an acute analysis of the sub ect. 老师就这一题目给我们做了深刻的分析。keen 则表示人 的""敏锐""""聪明""及""善于思索""，如：He has a keen mind. 他头脑灵敏。sharp 则 指人""有洞察力的，精明的""，如：The man is very sharp and no one can cheat him. 那人精明得很，没人能骗得了他。","划分：a | cute 针对第1个元素采用含义联想记忆：a 为冠词，表示一个； 针对第2个元素采用含义联想法：cute 为已经记忆过的熟悉单词，表示 ad .可爱 的； 综合考虑两个元素 ——> ① 想象你养了一只（a）可爱的（cute）的小猫咪。作 为一只猫，和其他小猫咪一样，它的听觉极其""敏锐（acute）""，家里任何风吹草 动都逃不过它的耳朵。 你的小猫咪有很多优点长相可爱，性格温顺…唯一的问题是它的叫声实在是太过"" 尖锐（acute）""，以至于它只要一叫，你就不得不捂起耳朵。现在由与小猫咪尖叫 有关的场景记住 acute 表示 ad .敏锐的；尖锐的； ② 在记住""尖锐的""含义之后，进行引申和联想 ——> 想象自己现在的肚子突然像 针扎一样地""尖锐""地疼痛，疼得你满地打滚。去医院一检查发现是""急性""阑尾炎， 需要立即手术。并且医生还提醒你，如果再来晚一点，后果会非常""严重""。 由上述看病的场景记住给你带来尖锐疼痛的疾病是 ad .急性的；严重的； | 词根分析：acu ：词根，意为尖端，尖锐（把握精细，尖锐的核心含义内核即可） | 巧记：通过熟练掌握 acute 单词反向记忆，acu | te：其中 acu 表示尖端，尖 锐；te 理解为形容词后缀 ——> ad .尖锐的；敏锐的； acute 对比辨析：acute，keen，sharp acute 一般侧重指""人观察事物的敏锐度""，如：The teacher gave us an acute analysis of the sub ect. 老师就这一题目给我们做了深刻的分析。keen 则表示人 的""敏锐""""聪明""及""善于思索""，如：He has a keen mind. 他头脑灵敏。sharp 则 指人""有洞察力的，精明的""，如：The man is very sharp and no one can cheat him. 那人精明得很，没人能骗得了他。",,,,Part1,570,单词突围5200 上册,1.0
